City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
114,Florence,IT,57.88,clear sky,43.7667,11.25,Hotel Nuova Italia
118,Mar Del Plata,AR,58.08,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
119,Chapais,CA,55.18,overcast clouds,49.7834,-74.8492,Hôtel Opémiska
121,Port Macquarie,AU,59.9,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
124,Yellowknife,CA,54.12,few clouds,62.456,-114.3525,The Explorer Hotel
126,Moyale,KE,69.85,clear sky,3.5167,39.0584,La Tahzan Guest House
128,San Quintin,MX,72.3,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
129,Coolum Beach,AU,72.1,clear sky,-26.5333,153.1,Coolum Beach Resort
130,Ribeira Grande,PT,74.61,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
131,Port Hedland,AU,60.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
132,Ponta Do Sol,PT,75.83,scattered clouds,32.6667,-17.1,Hotel do Campo
133,Cidreira,BR,61.59,clear sky,-30.1811,-50.2056,Hotel Castelo
136,Meulaboh,ID,74.68,light rain,4.1363,96.1285,Kost Pria
137,Hermanus,ZA,51.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
138,Faanui,PF,78.22,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
139,Kenai,US,57.29,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
141,Sinnamary,GF,80.51,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
142,Georgetown,MY,77.95,few clouds,5.4112,100.3354,Cititel Penang
143,Laguna,US,82.15,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
146,Kirchen,DE,50.95,overcast clouds,50.8,7.8833,Hotel & Restaurant ‚zum weißen Stein‘
147,Vaitape,PF,78.15,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
148,Pisco,PE,64.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
149,Haines Junction,CA,57.15,broken clouds,60.7522,-137.5108,Parkside Inn
150,Half Moon Bay,US,76.78,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
151,Jiayuguan,CN,60.22,broken clouds,39.8167,98.3,Jiugang Hotel - Jiayuguan
152,Elat,IL,82.24,clear sky,29.5581,34.9482,Club Hotel Eilat
154,Glenwood Springs,US,79.41,broken clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
156,Marawi,PH,72.77,broken clouds,7.9986,124.2928,Derogongan Residence
158,Lata,PT,69.93,broken clouds,40.1629,-8.3327,Casa Maquia
159,Springbok,ZA,50.04,overcast clouds,-29.6643,17.8865,Undulata Country Lodge
160,Portland,US,73.58,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
161,Shepsi,RU,76.71,overcast clouds,44.0361,39.1489,Otel' Chayka
163,Bejar,ES,68.58,broken clouds,40.3864,-5.7634,Posada Puerta Grande
164,Palma Del Rio,ES,77.32,clear sky,37.7002,-5.2812,Hotel Monasterio de San Francisco
165,Pavilosta,LV,57.11,overcast clouds,56.8879,21.1859,"Hotel ""Vēju paradīze"""
166,Nagato,JP,79.09,overcast clouds,34.3833,131.2,いそう庵
167,Kabanjahe,ID,62.1,overcast clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
168,Caraquet,CA,57.74,scattered clouds,47.7941,-64.9386,Gite Le Poirier
169,Tamano,JP,81.01,overcast clouds,34.4833,133.95,Yado Seven Beach
170,Najran,SA,81.25,overcast clouds,17.4924,44.1277,محمد هادي ال فطيح
171,Goderich,CA,81.91,scattered clouds,43.7501,-81.7165,Harmony Inn
172,Minbu,MM,75.76,overcast clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
173,Touros,BR,77.04,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
174,Saldanha,ZA,51.85,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
175,Axim,GH,74.77,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
176,Sitka,US,57.09,few clouds,57.0531,-135.33,Westmark Sitka
177,Hithadhoo,MV,81.32,few clouds,-0.6,73.0833,Scoop Guest House
178,Hay River,CA,57.16,scattered clouds,60.8156,-115.7999,Ptarmigan Inn
180,Aksu,CN,70.14,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
181,Arroyo,ES,62.08,clear sky,41.6096,-4.7969,Hotel El Jardín de la Abadía
182,Thompson,CA,66.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
183,Namatanai,PG,84.56,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
184,Port Lincoln,AU,55.22,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
185,Tuatapere,NZ,56.95,light rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
187,Kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
189,Atuona,PF,77.07,clear sky,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
190,Coripata,BO,65.66,broken clouds,-16.3,-67.6,"Hostal ""GARDEN"""
191,Tabou,CI,76.03,light rain,4.423,-7.3528,hotêl doufoulougou
193,Lagoa,PT,73.22,overcast clouds,39.05,-27.9833,Casa Das Faias
194,Zunyi,CN,70.66,broken clouds,27.6867,106.9072,Bishiluo Hostel
195,Kalabo,ZM,68.45,scattered clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
197,North Bend,US,62.24,clear sky,43.4065,-124.2243,Red Lion Hotel Coos Bay
198,Asau,RO,54.52,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
200,Tiarei,PF,82.42,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
201,Korla,CN,68.27,overcast clouds,41.7597,86.1469,Gulisitan Hotel
202,Hartford,US,69.26,clear sky,41.7668,-72.7662,West Hartford Inn
203,Imbituba,BR,59.43,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
