City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
195,Kalabo,ZM,-14.97,22.6814,68.45,28,26,6.13,scattered clouds
196,Yar-Sale,RU,66.8333,70.8333,47.21,75,99,9.64,overcast clouds
197,North Bend,US,43.4065,-124.2243,62.24,94,0,10.36,clear sky
198,Asau,RO,46.4333,26.4,54.52,98,100,2.62,overcast clouds
199,Tromso,NO,69.6496,18.957,48.22,81,100,12.66,overcast clouds
200,Tiarei,PF,-17.5333,-149.3333,82.42,79,38,18.86,light rain
201,Korla,CN,41.7597,86.1469,68.27,21,97,10.92,overcast clouds
202,Hartford,US,41.7668,-72.7662,69.26,70,0,8.05,clear sky
203,Imbituba,BR,-28.24,-48.6703,59.43,80,0,6.67,clear sky
204,Ust-Maya,RU,60.4167,134.5333,42.91,61,100,3.18,overcast clouds
205,Nikolskoye,RU,59.7035,30.7861,51.69,91,98,11.14,light rain
206,Savannah Bight,HN,16.45,-85.85,84.04,79,26,20.42,scattered clouds
207,Chippewa Falls,US,44.9369,-91.3929,79.57,70,0,11.5,clear sky
208,Nazare,BR,-13.035,-39.0144,69.98,96,15,3.24,few clouds
209,Quelimane,MZ,-17.8786,36.8883,75.15,83,0,9.22,clear sky
210,Chokurdakh,RU,70.6333,147.9167,34.02,69,40,6.15,scattered clouds
211,Klyuchevskiy,RU,53.5317,119.4519,35.76,96,100,4.88,overcast clouds
212,Alyangula,AU,-13.8483,136.4192,78.67,89,75,0.0,broken clouds
213,Phangnga,TH,8.4509,98.5298,80.64,89,75,1.97,broken clouds
214,Khani,GE,41.9563,42.9566,62.17,54,2,7.45,clear sky
215,Durban,ZA,-29.8579,31.0292,67.93,86,81,1.01,broken clouds
216,Santa Marta,CO,11.2408,-74.199,85.89,75,100,1.01,overcast clouds
217,Sao Sebastiao,BR,-23.76,-45.4097,63.05,83,53,4.43,broken clouds
218,Zvishavane,ZW,-20.3267,30.0665,65.08,23,0,1.9,clear sky
219,Los Llanos De Aridane,ES,28.6585,-17.9182,71.35,85,20,3.44,few clouds
220,Geraldton,AU,-28.7667,114.6,46.81,93,1,5.75,clear sky
