City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Carnarvon,AU,2022-09-17 01:17:12,-24.8667,113.6333,68.9,43,0,11.25
94,Soyo,AO,2022-09-17 01:17:12,-6.1349,12.3689,72.99,90,98,7.72
95,Ramnicu Sarat,RO,2022-09-17 01:17:13,45.3833,27.05,65.08,75,9,3.94
96,Ponta Do Sol,PT,2022-09-17 01:17:13,32.6667,-17.1,75.7,69,22,6.6
97,Bambous Virieux,MU,2022-09-17 01:17:13,-20.3428,57.7575,71.22,78,40,12.66
98,Chokurdakh,RU,2022-09-17 01:17:14,70.6333,147.9167,36.32,75,91,3.47
99,Constitucion,CL,2022-09-17 01:17:14,-35.3333,-72.4167,53.49,95,100,8.43
100,Rio Grande,BR,2022-09-17 01:17:15,-32.035,-52.0986,57.94,79,0,14.5
101,Khairabad,IN,2022-09-17 01:17:15,27.5333,80.75,74.89,98,72,7.11
102,Isangel,VU,2022-09-17 01:17:15,-19.55,169.2667,78.73,65,64,11.59
103,Hobyo,SO,2022-09-17 01:17:16,5.3505,48.5268,75.65,86,21,23.53
104,Alwar,IN,2022-09-17 01:17:16,27.5667,76.6,76.44,85,3,4.05
105,Longyearbyen,SJ,2022-09-17 01:17:17,78.2186,15.6401,31.84,74,75,10.36
106,Nome,US,2022-09-17 01:15:38,64.5011,-165.4064,50.07,87,100,21.85
107,Zaozerne,UA,2022-09-17 01:17:17,45.1582,33.2787,70.54,78,100,6.2
108,Carai,BR,2022-09-17 01:17:18,-17.1889,-41.6947,66.49,73,6,6.85
109,Nelson Bay,AU,2022-09-17 01:17:18,-32.7167,152.15,73.45,46,4,5.01
110,Kurchum,KZ,2022-09-17 01:17:19,48.5722,83.6542,48.43,51,0,3.85
111,Georgetown,MY,2022-09-17 01:15:41,5.4112,100.3354,82.33,88,20,1.14
112,Hermanus,ZA,2022-09-17 01:17:19,-34.4187,19.2345,55.8,83,45,6.17
113,Port Elizabeth,ZA,2022-09-17 01:17:20,-33.918,25.5701,60.31,85,0,10.36
